ID ,X,Street,ColorHex,ColorName,ColorAssigned,ColorGroup,Style,Photo Reference
1,42.5,12,#896747,Beige,,,,2120
2,41.8,12,#12203f,Blue,,,,2120
3,43.7,12,#2f1c14,Brown,,,,2120
4,44.2,12,#edf3f1,Grey,,,,2120
5,40.7,12,#17191c,Black,,,,2120
6,40.1,12,#745c2b,Beige,,,,2120
7,39.1,12,#17191c,Black,,,,2120
8,38.4,12,#465428,Green,,,,2120
9,43.5,10,#17191c,Black,,,,2119
10,42.5,10,#d1cbc9,White,,,,2119
11,42.1,10,#17191c,Black,,,,2119
12,41.5,10,#d1cbc9,White,,,,2119
13,40.7,10,#17191c,Black,,,,2119
14,40.1,10,#465428,Green,,,,2119
15,39.1,10,#393e45,Grey,,,,2119
16,37.7,10,#17191c,Black,,,,2119
17,37,10,#d1cbc9,White,,,,2119
18,36.1,10,#17191c,Black,,,,2119
19,41.5,9,#17191c,Black,,,,2118
20,39.1,9,#6d6b6c,Grey,,,,2118
21,38.5,9,#7a1320,Red,,,,2118
22,37.7,9,#ba7264,Pink,,,,2118
23,37.2,9,#17191c,Black,,,,2118
24,36.5,9,#d1cbc9,White,,,,2118
25,35.8,9,#17191c,Black,,,,2118
26,35.2,9,#8c6042,Beige,,,,2118
27,34.7,9,#17191c,Black,,,,2118
28,47.2,8,#282f40,Blue,,,,2116
29,46.5,8,#9ba4ab,Grey,,,,2116
30,45.8,8,#e3e5e7,White,,,,2116
31,41,8,#17191c,Black,,,,2116
32,38.1,8,#8f755c,Beige,,,,2116
33,40.3,8,#152b24,Green,,,,2116
34,37.5,8,#e3e5e7,White,,,,2116
35,48.7,8,#21262e,Blue,,,,2116
36,48.2,8,#505238,Green,,,,2116
37,44.6,8,#1e1a19,Grey,,,,2116
38,43.8,8,#03080a,Black,,,,2116
39,48.6,9,#03080a,Black,,,,2117
40,47.5,9,#23334b,Blue,,,,2117
41,47,9,#ccc5b5,Beige,,,,2117
42,46.2,9,#1e2226,Black,,,,2117
43,45.5,9,#b6322d,Red,,,,2117
44,45,9,#1a1d24,Black,,,,2117
45,44.1,9,#a75c6d,Pink,,,,2117
46,5.2,9,#202837,Blue,,,,2072
47,4.5,9,#381524,Red,,,,2072
48,6.2,9,#6b6d60,Green,,,,2072
49,7,9,#272c33,Black,,,,2072
50,7.4,9,#736857,Beige,,,,2072
51,5.1,10,#57709b,Blue,,,,2072
52,5.6,9,#4b4a50,Grey,,,,2072
53,6,10,#2d3037,Blue,,,,2072
54,7,10,#0e141c,Blue,,,,2074
55,7.5,10,#0d0e12,Black,,,,2074
56,9.7,10,#353632,Grey,,,,2074
57,10.5,10,#0c0a0b,Black,,,,2074
58,11.2,10,#69594d,Beige,,,,2077
59,12.5,10,#0d0e12,Black,,,,2077
60,13,10,#47423e,Grey,,,,2077
61,14.1,10,#1c232b,Blue,,,,2077
62,14.8,10,#43312d,Brown,,,,2077
63,15.3,10,#07070a,Black,,,,2077
64,16.6,10,#12161e,Black,,,,2077
65,17.2,10,#27050d,Red,,,,2077
66,17.7,10,#030609,Black,,,,2077
67,18.4,10,#e2d7ce,White,,,,2077
68,4,9,#c4b0bc,Pink,,,,2077
69,9,11,#d3c7bb,Beige,,,,2079
70,9.5,11,#252a2e,Black,,,,2080
71,10.4,11,#393a40,Grey,,,,2080
72,10.9,11,#2c4034,Green,,,,2080
73,10.8,11,#242c33,Blue,,,,2080
74,14.4,11,#393a30,Green,,,,2082
75,24.4,10,,Brown,,,,2085
76,25,10,,Black,,,,2085
77,23.4,10,,White,,,,2086
78,22.2,10,,Grey,,,,2086
79,21.7,10,,Black,,,,2086
80,21,10,,Brown,,,,2086
81,25.9,10,,Black,,,,2086
82,26.4,10,,Brown,,,,2087
83,29,10,,Beige,,,,2090
84,26.1,11,,Blue,,,,2090
85,28.3,11,,White,,,,2090
86,27.6,11,,Black,,,,2090
87,16.2,11,,Black,,,,2091
88,17,11,,Grey,,,,2091
89,17.6,11,,White,,,,2091
90,20,11,,Beige,,,,2091
91,20.7,11,,Red,,,,2091
92,21.5,11,,Black,,,,2091
93,23.4,12,,Grey,,,,2094
94,24,12,,Black,,,,2094
